Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
noa-legno-woven-raffia-mid-heels,Noa Legno Woven Raffia Mid-Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Court Shoes,Mid-Heels",TRUE,Color,Brown,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/IGFqqjnfcU702KHcxzNZu/8903d17a96979a1ad1ea25939a1c087a/miista-noa-legno-woven-mid-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
vivyan-black-russet-mix-woven-mules,Vivyan Black Russet Mix Woven Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Mid-Heels,New Arrivals",TRUE,Color,Black,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/2xCtXkHOOyqkbCBpPlMcQm/ace10f43fc39bb40ce6271bae63bbf61/miista-vivyan-black-russet-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
joanne-sunshine-leather-sandals,Joanne Sunshine Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,High-Heels,New Arrivals",TRUE,Color,Yellow,,,,,,,,100,deny,manual,203.00,203.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/01jkI1b7KMo0QLZtWeBWXX/da6d83d3ea824c4ec5c82201b924a621/miista-joanne-sunshine-heels-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,203.00,203.00,203.00,active
tina-fern-nappa-leather-heels,Tina Fern Nappa Leather Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mid-Heels,New Arrivals",TRUE,Color,Green,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/DOWR6cs3C5wVrTqveQ3cR/c24fee5fa7994721a72329c5c2ba8a81/miista-tina-fern-mid-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
nedda-clay-tejus-lace-up-leather-heels,Nedda Clay Tejus Lace Up Leather Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Mid-Heels,New Arrivals",TRUE,Color,Brown,,,,,,,,100,deny,manual,168.00,168.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/MQHmhlSwDvGmOoMtq2BYE/656dc1012d2084920161d7592d0b7169/miista-nedda-clay-tejus-sandals-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,168.00,168.00,168.00,active
myriam-queenlux-pool-blue-snake-leather-sandals,Myriam Queenlux Pool Blue Snake Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Blue,,,,,,,,100,deny,manual,182.00,182.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/3Oe2K4OgYifD8u0SwjZyXY/5120450cf32e3e029a39415412866e35/miista-myriam-queenlux-pool-blue-sandals-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,182.00,182.00,182.00,active
ailsa-queenlux-honey-snake-sandals,Ailsa Queenlux Honey Snake Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"High-Heels,Sandals,New Arrivals",TRUE,Color,Yellow,,,,,,,,100,deny,manual,203.00,203.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/4vF7iNcPd15OUU8v0oYrRZ/bb0914ed17b54dcd605ea8f7e8fddfa3/miista-ailsa-queenlux-honey-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,203.00,203.00,203.00,active
yana-beige-leather-boots,Yana Beige Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Boots,Mid-Heels",TRUE,Color,White,,,,,,,,100,deny,manual,262.50,262.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/3DWLQLZANkKL2TFDg9mPgs/f02a0926a26ff6ead4118aee59bc47e0/miista-yana-beige-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,262.50,262.50,262.50,active
cybil-brown-snake-leather-boots,Cybil Brown Snake Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Ankle Boots,Mid-Heels",TRUE,Color,Brown,,,,,,,,100,deny,manual,290.00,290.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/2qJmp8WJ2FPao3DjTmHhWf/fbe2cefffca3c4cf1057aac28b74428f/miisra-cybil-brown-snake-boots-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,290.00,290.00,290.00,active
noa-natural-woven-raffia-mid-heels,Noa Natural Woven Raffia Mid-Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mid-Heels,Court Shoes",TRUE,Color,Natural,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/n0dLqE584PuXV2AjH6XdT/28723842466094cf5b353f4b62120ce1/miista-noa-natural-woven-mid-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
